name,state,country,latitude,longitude,population
Kaduna,Kaduna,Nigeria,10.5182899,7.4359863,50000
Oran,,Algeria,35.6970213,-0.6330128,50000
Nairobi,Nairobi,Kenya,-1.2832533,36.8172449,50000
Enugu,Enugu,Nigeria,6.45,7.5,50000
Abeokuta,Ogun,Nigeria,7.161,3.348,50000
Maiduguri,Borno,Nigeria,11.8395257,13.1536509,50000
Blantyre,Blantyre,Malawi,-15.7862543,35.0035694,50000
Antananarivo,,,-18.9100122,47.5255809,50000
Khartoum,,,15.5933247,32.5356502,50000
Banġāzī,,,32.1170043,20.0669846,50000
Giza,,,30.0170059,31.2134513,50000
Lagos,Lagos,Nigeria,6.4550575,3.3941795,50000
Örebro,,,59.2747382,15.2149957,50000
Espargos,,Cabo Verde,16.7553023,-22.9462172,50000
Praia,,Cabo Verde,14.9160169,-23.5096132,50000
New Orleans,Louisiana,United States,29.9499323,-90.0701156,50000
Secunda,Mpumalanga,South Africa,-26.5161111,29.2027778,50000
Clemson,South Carolina,United States,34.6850749,-82.8364111,50000
Kos,,,36.8940286,27.2866636,50000
Pamplona,,,42.8185502,-1.6444165,50000
Selkirk,,Canada,50.1456208,-96.8788003,50000
Eskilstuna,,,59.3717379,16.5051474,50000
Gliwice,,,50.294113,18.6657306,50000
Santa Cruz de Tenerife,,,28.4597823,-16.2536378,50000
Siegen,,Germany,50.8749804,8.0227233,50000
Oulu,,,65.0118734,25.4716809,50000
Nazarabad,,,35.9566729,50.612015,50000
Jerusalem,,,31.7774287,35.2247239,50000
Rijeka,,,45.3271115,14.4413555,50000
Segovia,,,40.9502159,-4.1241494,50000
Valladolid,,,41.6521328,-4.728562,50000
Perth,Western Australia,Australia,-31.9527121,115.8604796,50000
Las Palmas de Gran Canaria,,,28.1287799,-15.4350514,50000
Paphos,,Cyprus,34.7755334,32.422008,50000
Safi,,,32.2994239,-9.2395332,50000
Alice Springs,,Australia,-23.6983884,133.8812885,50000
Port Augusta,South Australia,Australia,-32.478804,137.7748974,50000
Cairns,Queensland,Australia,-16.9204963,145.7719011,50000
Shreveport,Louisiana,United States,32.5221828,-93.7651944,50000
Irakleion,,Greece,35.3340134,25.1328543,50000
Ventspils,,,57.3903918,21.5635991,50000
Seattle,Washington,United States,47.6038321,-122.3300624,50000
Ras Sudr,,,29.5934871,32.7185362,50000
Chorzów,,,50.2978791,18.9544466,50000
Red Deer,Alberta,Canada,52.2654983,-113.8289054,50000
Ain Sukhna,,,29.6587767,32.3477664,50000
Assen,,,52.9953538,6.560553,50000
Brooks,Alberta,Canada,50.5704252,-111.8924659,50000
Medicine Hat,Alberta,Canada,50.0415358,-110.6775465,50000
Neuss,,,51.1981778,6.6916476,50000
Klagenfurt,,,46.6228162,14.3079604,50000
Tallinn,,,59.4372155,24.7453688,50000
Anapa,,,44.8942722,37.3168873,50000
Mbanza-Ngungu,,,-5.2500086,14.8666614,50000
Matadi,,,-5.8256527,13.4608643,50000
Boma,,,-5.85,13.05,50000
Makanza,,,1.6084795,19.1034796,50000
Mbandaka,,,0.0470732,18.2564803,50000
Bolobo,,,-2.1666825,16.2333298,50000
Kisangani,,"Congo, The Democratic Republic of the",0.5184021,25.2057292,50000
